fund_id,fund_name,fund_manager
F00000ME1O,AB FCP I - Emerging Markets Debt Portfolio A2 SGD H Acc,AllianceBernstein
F00000ME1H,AB FCP I - Global High Yield Portfolio A2 SGD H Acc,AllianceBernstein
F00000PA64,AB SICAV I - Low Volatility Equity Portfolio A USD Acc,AllianceBernstein
F00000ME01,AB SICAV I – Sustainable US Thematic Portfolio Class A SGDH Acc,AllianceBernstein
F00000ZVQS,Allianz Global Investors Fund - Allianz Global Artificial Intelligence AT H2 SGD,Allianz Global Investors
F00000Q4B0,Allianz Global Investors Fund - Allianz Income and Growth AMi3 (H2-SGD),Allianz Global Investors
F00000MKK6,Amundi Funds - Cash USD A2 USD (C),Amundi
F00000R2NP,Amundi Funds - US Bond A2 SGD Hgd (C),Amundi
F000013QY5,Amundi Funds - US Bond A2 USD (C),Amundi
F000013QY7,Amundi Funds - US Equity Fundamental Growth A USD C,Amundi
F0HKG062UI,United Singapore Bond Fund – Class A SGD Acc,UOBAM
F0HKG062HX,United SGD Fund - Class A SGD Acc,UOBAM
F00000PRDS,Templeton Shariah Global Equity Fund A(acc)SGD,Franklin Templeton
F0HKG062S4,Schroder Singapore Trust SGD A Dis,Schroders
F000005QI8,Schroder Singapore Fixed Income Fund Class A Acc,Schroders
F00000MKAW,Schroder Multi-Asset Revolution 70,Schroders
F00000MKAV,Schroder Multi-Asset Revolution 50,Schroders
F00000MKAU,Schroder Multi-Asset Revolution 30 A SGD Accumulation,Schroders
F000000OYA,Schroder International Selection Fund Taiwanese Equity A Accumulation USD,Schroders
F00000PIQI,Schroder Asian Income SGD X Dis,Schroders
F0GBR05ZSJ,Schroder International Selection Fund Global Equity Alpha A Accumulation USD,Schroders
F00000QG2U,Schroder International Selection Fund Asian Dividend Maximiser A Distribution USD MF,Schroders
F00000UQ0C,Schroder International Selection Fund Asian Dividend Maximiser A Distribution SGD Hedged M,Schroders
F00000JQ3K,Schroder Global Emerging Market Opportunities Fund,Schroders
F0HKG062RH,Schroder Asian Growth Fund Class SGD A Distribution Units,Schroders
F000014C47,Robeco Credit Income BxH SGD,Robeco
F00000XYM8,PineBridge Asia ex Japan Small Cap Equity Fund Class A5,PineBridge
F00000MSZX,Pictet-Premium Brands HP SGD,Pictet
F000016F38,PGIM Global Total Return Bond Fund SGD Hedged A Distribution (Q) Class,PGIM
F00000VEN2,Neuberger Strategic Income Fund SGD A (Monthly) Distributing Class,Neuberger Berman
F000013QUF,Mirova Funds - Mirova Global Sustainable Equity Fund R/A-NPF (USD),Natixis
F00000OS6X,JPMorgan Investment Funds - Global Income Fund A (mth) USD (hedged),JPMorgan
F00000PTC5,JPMorgan Investment Funds - Global Income Fund A (mth) SGD (hedged),JPMorgan
F0GBR05VW6,JPMorgan Funds - India Fund A (acc) USD,JPMorgan
F0GBR05VWV,JPMorgan Funds - Greater China Fund A (acc) USD,JPMorgan
F00001GLNT,HSBC Portfolios - World Selection 5 AMFLXHSGD,HSBC AM
F0HKG070RH,HSBC Life Singapore Equity Fund,HSBC Life
F00000PGIM,HSBC Life Singapore Bond Fund,HSBC Life
F00000HH52,HSBC Life Singapore Balanced Fund,HSBC Life
F00000Z3UK,HSBC Life Short Duration Bond,HSBC Life
F00000Z3UJ,HSBC Life Shariah Global Equity,HSBC Life
F0HKG070J6,HSBC Life India Opportunities Fund,HSBC Life
F0HKG070J5,HSBC Life Greater China Fund,HSBC Life
F0HKG0705N,HSBC Life Global Secure Fund,HSBC Life
F0HKG070RE,HSBC Life Global Perspective Fund,HSBC Life
F0HKG0705L,HSBC Life Global High Growth Fund,HSBC Life
F0HKG0705P,HSBC Life Global Growth Fund,HSBC Life
F0HKG0705O,HSBC Life Global Balanced Fund,HSBC Life
F00000OWOO,HSBC Life Emerging Markets Opportunities Fund,HSBC Life
F00000HH51,HSBC Life Asian Balanced,HSBC Life
F00000W6SH,HSBC Global Investment Funds - Global Short Duration Bond ACHSGD,HSBC AM
F00000ZI14,HSBC Global Investment Funds - Global Equity Climate Transition AD,HSBC AM
F00001GKQF,HSBC Global Investment Funds - Asia Pacific ex Japan Equity High Dividend S48M2SGD,HSBC AM
F000004019,Goldman Sachs Emerging Markets CORE Equity Portfolio Base Acc USD Close,Goldman Sachs
F00000O9HI,Fundsmith Equity Fund R EUR Acc,Fundsmith
F0GBR04V77,Franklin Technology Fund A (Acc) USD,Franklin Templeton
F00000JTUS,Franklin India Fund A(acc)SGD,Franklin Templeton
F000000L30,Franklin Income Fund A(Mdis)SGD-H1,Franklin Templeton
F00000PZA1,Franklin Global Sukuk Fund A(Mdis)SGD,Franklin Templeton
F00000WVHP,Fidelity Funds - Global Financial Services Fund A-Acc-SGD,Fidelity International
F000017086,Ascend Asia Trust Global Equity Fund Class A SGD (Hedged),Ascend Asia AM
F00001E447,Ascend Asia Trust Global Multi Asset Growth Fund Class A USD,Ascend Asia AM
F00001E44C,Ascend Asia Trust Global Multi Asset Income Fund Class A USD,Ascend Asia AM
F0GBR04AMX,BlackRock Global Funds - World Technology Fund A2,BlackRock
F000000RN7,BlackRock Global Funds - World Mining Fund A2 SGD Hedged,BlackRock
F0GBR04K8L,BlackRock Global Funds - World Healthscience Fund A2,BlackRock
F000002GJV,BlackRock Global Funds - World Gold Fund A2 SGD Hedged,BlackRock
F000002GK3,BlackRock Global Funds - World Energy Fund A2 SGD Hedged,BlackRock
F000000IK9,BlackRock Global Funds - Global Allocation Fund A2 SGD Hedged,BlackRock
F00000XKHS,AXA World Funds - Global High Yield Bonds A Capitalisation SGD (Hedged),AXA IM
