fund_name,fund_manager
Allianz Global Investors Fund - Allianz Income and Growth AMi3 (H2-SGD),Allianz Global Investors
Amundi Funds - Cash USD A2 USD (C),Amundi
Amundi Funds - US Bond A2 SGD Hgd (C),Amundi
Amundi Funds - US Bond A2 USD (C),Amundi
Amundi Funds - US Equity Fundamental Growth A USD C,Amundi
Ascend Asia Trust Global Equity Fund Class A SGD (Hedged),Ascend Asia AM
Ascend Asia Trust Global Multi Asset Growth Fund Class A USD,Ascend Asia AM
Ascend Asia Trust Global Multi Asset Income Fund Class A USD,Ascend Asia AM
AXA World Funds - Global High Yield Bonds A Capitalisation SGD (Hedged),AXA IM
BlackRock Global Funds - Global Allocation Fund A2 SGD Hedged,BlackRock
BlackRock Global Funds - World Energy Fund A2 SGD Hedged,BlackRock
BlackRock Global Funds - World Gold Fund A2 SGD Hedged,BlackRock
BlackRock Global Funds - World Healthscience Fund A2,BlackRock
BlackRock Global Funds - World Mining Fund A2 SGD Hedged,BlackRock
BlackRock Global Funds - World Technology Fund A2,BlackRock
Fidelity Funds - Global Financial Services Fund A-Acc-SGD,Fidelity International
Franklin Global Sukuk Fund A(Mdis)SGD,Franklin Templeton
Franklin Income Fund A(Mdis)SGD-H1,Franklin Templeton
Franklin India Fund A(acc)SGD,Franklin Templeton
Franklin Technology Fund A (Acc) USD,Franklin Templeton
Fundsmith Equity Fund R EUR Acc,Fundsmith
HSBC Global Investment Funds - Asia Bond S47M3HSGD,HSBC AM
HSBC Global Investment Funds - Asia Pacific ex Japan Equity High Dividend S48M2SGD,HSBC AM
HSBC Global Investment Funds - Global Equity Climate Transition AD,HSBC AM
HSBC Global Investment Funds - Global Short Duration Bond ACHSGD,HSBC AM
HSBC Global Investment Funds - Indian Equity AD,HSBC AM
HSBC Life Asian Balanced,HSBC Life
HSBC Life Asian Growth,HSBC Life
HSBC Life Emerging Markets Opportunities Fund,HSBC Life
HSBC Life Fortress Fund A,HSBC Life
HSBC Life Global Balanced Fund,HSBC Life
HSBC Life Global Growth Fund,HSBC Life
HSBC Life Global High Growth Fund,HSBC Life
HSBC Life Global Perspective Fund,HSBC Life
HSBC Life Global Secure Fund,HSBC Life
HSBC Life Greater China Fund,HSBC Life
HSBC Life India Opportunities Fund,HSBC Life
HSBC Life Shariah Global Equity,HSBC Life
HSBC Life Short Duration Bond,HSBC Life
HSBC Life Singapore Balanced Fund,HSBC Life
HSBC Life Singapore Bond Fund,HSBC Life
HSBC Life Singapore Equity Fund,HSBC Life
HSBC Portfolios - World Selection 5 AMFLXHSGD,HSBC AM
Janus Henderson Horizon Discovering New Alpha Fund A2 HSGD Acc,Janus Henderson
JPMorgan Funds - Greater China Fund A (acc) USD,JPMorgan
JPMorgan Funds - India Fund A (acc) USD,JPMorgan
JPMorgan Investment Funds - Global Income Fund A (mth) SGD (hedged),JPMorgan
JPMorgan Investment Funds - Global Income Fund A (mth) USD (hedged),JPMorgan
Mirova Funds - Mirova Global Sustainable Equity Fund R/A-NPF (USD),Natixis
Neuberger Strategic Income Fund SGD A (Monthly) Distributing Class,Neuberger Berman
PGIM Global Total Return Bond Fund SGD Hedged A Distribution (Q) Class,PGIM
Pictet-Premium Brands HP SGD,Pictet
PIMCO GIS Income Fund Administrative SGD (Hedged) Income,PIMCO
PineBridge Asia ex Japan Small Cap Equity Fund Class A5,PineBridge
Robeco Credit Income BxH SGD,Robeco
Schroder Asian Growth Fund Class SGD A Distribution Units,Schroders
Schroder Asian Income SGD X Dis,Schroders
Schroder Global Emerging Market Opportunities Fund,Schroders
Schroder International Selection Fund Asian Dividend Maximiser A Distribution SGD Hedged M,Schroders
Schroder International Selection Fund Asian Dividend Maximiser A Distribution USD MF,Schroders
Schroder International Selection Fund Global Equity Alpha A Accumulation USD,Schroders
Schroder International Selection Fund Taiwanese Equity A Accumulation USD,Schroders
Schroder Multi-Asset Revolution 30 A SGD Accumulation,Schroders
Schroder Multi-Asset Revolution 50,Schroders
Schroder Multi-Asset Revolution 70,Schroders
Schroder Singapore Fixed Income Fund Class A Acc,Schroders
Schroder Singapore Trust SGD A Dis,Schroders
Templeton Shariah Global Equity Fund A(acc)SGD,Franklin Templeton
United SGD Fund - Class A SGD Acc,UOBAM
United Singapore Bond Fund - Class A SGD Acc,UOBAM
